name of the body ; position x ; position y ; position z
sun;-3.70989e-05;-0.0010925;-0.0010925
jupiter;4.95341;-0.216923;-0.216923
saturn;7.98716;4.71535;4.71535
uranus;13.248;-14.8202;-14.8202
neptune;15.7015;-25.721;-25.721
sun;-3.54411e-05;-0.00112578;-0.00112578
jupiter;4.9541;-0.188049;-0.188049
saturn;7.97568;4.73287;4.73287
uranus;13.2586;-14.8113;-14.8113
neptune;15.7113;-25.7149;-25.7149
sun;-3.36186e-05;-0.00115906;-0.00115906
jupiter;4.95463;-0.159168;-0.159168
saturn;7.96417;4.75036;4.75036
uranus;13.2692;-14.8023;-14.8023
neptune;15.721;-25.7088;-25.7088
sun;-3.16312e-05;-0.00119234;-0.00119234
jupiter;4.955;-0.130282;-0.130282
saturn;7.95262;4.76783;4.76783
uranus;13.2798;-14.7934;-14.7934
neptune;15.7307;-25.7027;-25.7027
sun;-2.94789e-05;-0.00122561;-0.00122561
jupiter;4.9552;-0.101392;-0.101392
saturn;7.94103;4.78527;4.78527
uranus;13.2904;-14.7844;-14.7844
neptune;15.7404;-25.6967;-25.6967
sun;-2.71617e-05;-0.00125889;-0.00125889
jupiter;4.95525;-0.0724988;-0.0724988
saturn;7.9294;4.80269;4.80269
uranus;13.301;-14.7754;-14.7754
neptune;15.7501;-25.6906;-25.6906
sun;-2.46795e-05;-0.00129215;-0.00129215
jupiter;4.95514;-0.0436032;-0.0436032
saturn;7.91773;4.82009;4.82009
uranus;13.3115;-14.7665;-14.7665
neptune;15.7598;-25.6845;-25.6845
sun;-2.20324e-05;-0.00132542;-0.00132542
jupiter;4.95487;-0.0147061;-0.0147061
saturn;7.90602;4.83747;4.83747
uranus;13.3221;-14.7575;-14.7575
neptune;15.7695;-25.6784;-25.6784
sun;-1.92202e-05;-0.00135868;-0.00135868
jupiter;4.95443;0.0141914;0.0141914
saturn;7.89428;4.85481;4.85481
uranus;13.3327;-14.7485;-14.7485
neptune;15.7792;-25.6723;-25.6723
sun;-1.62431e-05;-0.00139193;-0.00139193
jupiter;4.95384;0.0430885;0.0430885
saturn;7.88249;4.87214;4.87214
uranus;13.3432;-14.7395;-14.7395
neptune;15.7889;-25.6662;-25.6662
sun;-1.31009e-05;-0.00142517;-0.00142517
jupiter;4.95308;0.0719841;0.0719841
saturn;7.87066;4.88944;4.88944
uranus;13.3538;-14.7305;-14.7305
neptune;15.7986;-25.6601;-25.6601
sun;-9.79373e-06;-0.00145841;-0.00145841
jupiter;4.95217;0.100877;0.100877
saturn;7.8588;4.90672;4.90672
uranus;13.3643;-14.7214;-14.7214
neptune;15.8083;-25.654;-25.654
sun;-6.32152e-06;-0.00149163;-0.00149163
jupiter;4.95109;0.129767;0.129767
saturn;7.84689;4.92397;4.92397
uranus;13.3748;-14.7124;-14.7124
neptune;15.818;-25.6478;-25.6478
sun;-2.68431e-06;-0.00152485;-0.00152485
jupiter;4.94985;0.158653;0.158653
saturn;7.83495;4.9412;4.9412
uranus;13.3853;-14.7034;-14.7034
neptune;15.8277;-25.6417;-25.6417
sun;1.11789e-06;-0.00155805;-0.00155805
jupiter;4.94845;0.187534;0.187534
saturn;7.82297;4.9584;4.9584
uranus;13.3959;-14.6943;-14.6943
neptune;15.8373;-25.6356;-25.6356
sun;5.08506e-06;-0.00159124;-0.00159124
jupiter;4.9469;0.216408;0.216408
saturn;7.81095;4.97558;4.97558
uranus;13.4064;-14.6853;-14.6853
neptune;15.847;-25.6295;-25.6295
sun;9.21717e-06;-0.00162442;-0.00162442
jupiter;4.94518;0.245276;0.245276
saturn;7.79889;4.99273;4.99273
uranus;13.4169;-14.6762;-14.6762
neptune;15.8567;-25.6233;-25.6233
sun;1.35142e-05;-0.00165758;-0.00165758
jupiter;4.9433;0.274135;0.274135
saturn;7.78679;5.00986;5.00986
uranus;13.4274;-14.6672;-14.6672
neptune;15.8664;-25.6172;-25.6172
sun;1.79761e-05;-0.00169073;-0.00169073
jupiter;4.94125;0.302985;0.302985
saturn;7.77466;5.02697;5.02697
uranus;13.4379;-14.6581;-14.6581
neptune;15.8761;-25.6111;-25.6111
sun;2.26028e-05;-0.00172386;-0.00172386
jupiter;4.93905;0.331826;0.331826
saturn;7.76248;5.04405;5.04405
uranus;13.4483;-14.649;-14.649
neptune;15.8857;-25.6049;-25.6049
sun;2.73943e-05;-0.00175698;-0.00175698
jupiter;4.93669;0.360656;0.360656
saturn;7.75027;5.0611;5.0611
uranus;13.4588;-14.6399;-14.6399
neptune;15.8954;-25.5988;-25.5988
sun;3.23505e-05;-0.00179007;-0.00179007
jupiter;4.93417;0.389474;0.389474
saturn;7.73802;5.07813;5.07813
uranus;13.4693;-14.6309;-14.6309
neptune;15.9051;-25.5926;-25.5926
sun;3.74714e-05;-0.00182315;-0.00182315
jupiter;4.93149;0.418279;0.418279
saturn;7.72572;5.09513;5.09513
uranus;13.4798;-14.6218;-14.6218
neptune;15.9147;-25.5865;-25.5865
sun;4.27568e-05;-0.00185621;-0.00185621
jupiter;4.92864;0.447071;0.447071
saturn;7.7134;5.11211;5.11211
uranus;13.4902;-14.6127;-14.6127
neptune;15.9244;-25.5803;-25.5803
sun;4.82068e-05;-0.00188925;-0.00188925
jupiter;4.92564;0.475848;0.475848
saturn;7.70103;5.12906;5.12906
uranus;13.5007;-14.6035;-14.6035
neptune;15.9341;-25.5742;-25.5742
sun;5.38211e-05;-0.00192226;-0.00192226
jupiter;4.92247;0.50461;0.50461
saturn;7.68862;5.14599;5.14599
uranus;13.5111;-14.5944;-14.5944
neptune;15.9437;-25.568;-25.568
sun;5.95999e-05;-0.00195526;-0.00195526
jupiter;4.91915;0.533355;0.533355
saturn;7.67618;5.16289;5.16289
uranus;13.5215;-14.5853;-14.5853
neptune;15.9534;-25.5618;-25.5618
sun;6.55429e-05;-0.00198823;-0.00198823
jupiter;4.91566;0.562083;0.562083
saturn;7.6637;5.17977;5.17977
uranus;13.532;-14.5762;-14.5762
neptune;15.963;-25.5557;-25.5557
sun;7.165e-05;-0.00202117;-0.00202117
jupiter;4.91202;0.590792;0.590792
saturn;7.65118;5.19661;5.19661
uranus;13.5424;-14.567;-14.567
neptune;15.9727;-25.5495;-25.5495
sun;7.79212e-05;-0.00205409;-0.00205409
jupiter;4.90821;0.619482;0.619482
saturn;7.63862;5.21344;5.21344
uranus;13.5528;-14.5579;-14.5579
neptune;15.9823;-25.5433;-25.5433
sun;8.43564e-05;-0.00208699;-0.00208699
jupiter;4.90425;0.648152;0.648152
saturn;7.62602;5.23024;5.23024
uranus;13.5632;-14.5487;-14.5487
neptune;15.992;-25.5371;-25.5371
sun;9.09554e-05;-0.00211986;-0.00211986
jupiter;4.90012;0.676801;0.676801
saturn;7.61339;5.24701;5.24701
uranus;13.5736;-14.5395;-14.5395
